date,temperature_2m,weather_code,relative_humidity_2m,rain,wind_speed_10m
2026-05-05 00:00:00+00:00,25.671001,3.0,89.268654,0.0,4.896529
2026-05-05 01:00:00+00:00,25.471,51.0,91.97859,0.2,11.968308
2026-05-05 02:00:00+00:00,25.621,3.0,89.26487,0.0,14.941085
2026-05-05 03:00:00+00:00,27.471,3.0,79.802666,0.0,12.785069
2026-05-05 04:00:00+00:00,29.571001,3.0,72.35795,0.0,9.208192
2026-05-05 05:00:00+00:00,31.071001,51.0,66.79584,0.1,7.7900705
2026-05-05 06:00:00+00:00,30.921001,51.0,67.97845,0.1,7.0015144
2026-05-05 07:00:00+00:00,29.271,63.0,77.69485,3.2,12.906138
2026-05-05 08:00:00+00:00,28.721,53.0,82.14148,0.7,4.5536795
2026-05-05 09:00:00+00:00,27.821001,51.0,85.27991,0.3,2.97953
2026-05-05 10:00:00+00:00,27.971,53.0,84.7888,0.5,6.2067385
2026-05-05 11:00:00+00:00,28.271,53.0,82.33271,0.6,11.391313
2026-05-05 12:00:00+00:00,30.471,3.0,65.28261,0.0,11.854062
2026-05-05 13:00:00+00:00,29.021,3.0,73.35859,0.0,10.44
2026-05-05 14:00:00+00:00,28.321001,3.0,78.49281,0.0,7.8954163
2026-05-05 15:00:00+00:00,26.571001,63.0,88.80392,2.8,7.256032
2026-05-05 16:00:00+00:00,25.621,51.0,93.09629,0.1,9.087772
2026-05-05 17:00:00+00:00,25.221,3.0,92.51882,0.0,9.016185
2026-05-05 18:00:00+00:00,25.371,3.0,93.08386,0.0,9.906544
2026-05-05 19:00:00+00:00,25.221,0.0,92.79725,0.0,12.093534
2026-05-05 20:00:00+00:00,25.271,1.0,92.24394,0.0,13.363711
2026-05-05 21:00:00+00:00,25.221,2.0,91.68797,0.0,13.679999
2026-05-05 22:00:00+00:00,25.071001,0.0,92.232796,0.0,13.200273
2026-05-05 23:00:00+00:00,25.021,1.0,92.23003,0.0,12.431734
2026-05-06 00:00:00+00:00,25.471,3.0,90.063515,0.0,10.478722
2026-05-06 01:00:00+00:00,25.821001,3.0,89.01205,0.0,11.897714
2026-05-06 02:00:00+00:00,26.921001,3.0,86.21594,0.0,12.7279215
2026-05-06 03:00:00+00:00,28.721,3.0,78.78432,0.0,11.705537
2026-05-06 04:00:00+00:00,30.271,3.0,71.61783,0.0,11.989945
2026-05-06 05:00:00+00:00,31.721,51.0,66.526474,0.1,11.793777
2026-05-06 06:00:00+00:00,33.121002,1.0,58.76988,0.0,8.538149
2026-05-06 07:00:00+00:00,33.571,51.0,58.521667,0.1,10.387107
2026-05-06 08:00:00+00:00,32.121,63.0,66.21058,3.2,15.146761
2026-05-06 09:00:00+00:00,28.771,63.0,81.66051,6.5,14.759999
2026-05-06 10:00:00+00:00,27.671001,51.0,84.001854,0.4,8.528657
2026-05-06 11:00:00+00:00,26.671001,53.0,90.95739,0.7,7.293888
2026-05-06 12:00:00+00:00,26.621,51.0,91.225624,0.1,2.1068459
2026-05-06 13:00:00+00:00,26.271,51.0,95.08868,0.1,3.4576871
2026-05-06 14:00:00+00:00,26.021,3.0,95.932335,0.0,4.6938257
2026-05-06 15:00:00+00:00,25.971,51.0,95.07795,0.1,3.244996
2026-05-06 16:00:00+00:00,26.121,51.0,94.23797,0.2,6.8541956
2026-05-06 17:00:00+00:00,26.371,51.0,94.24837,0.1,6.3231
2026-05-06 18:00:00+00:00,26.671001,3.0,93.14819,0.0,7.3799996
2026-05-06 19:00:00+00:00,26.471,2.0,94.81395,0.0,7.208994
2026-05-06 20:00:00+00:00,26.321001,55.0,90.93488,1.0,7.5170207
2026-05-06 21:00:00+00:00,25.721,51.0,93.38018,0.1,1.7727944
2026-05-06 22:00:00+00:00,25.471,51.0,94.77623,0.1,3.0652893
2026-05-06 23:00:00+00:00,24.871,3.0,97.63761,0.0,5.6521144
2026-05-07 00:00:00+00:00,25.221,3.0,94.766716,0.0,3.7971036
2026-05-07 01:00:00+00:00,25.321001,3.0,94.48714,0.0,2.4216523
2026-05-07 02:00:00+00:00,26.221,3.0,94.24212,0.0,2.3469126
2026-05-07 03:00:00+00:00,27.421001,3.0,89.66577,0.0,3.8183763
2026-05-07 04:00:00+00:00,28.821001,3.0,80.22122,0.0,3.710795
2026-05-07 05:00:00+00:00,30.171001,3.0,71.17265,0.0,3.4152596
2026-05-07 06:00:00+00:00,30.571001,3.0,69.76846,0.0,3.396233
2026-05-07 07:00:00+00:00,31.571001,3.0,66.29785,0.0,1.0948973
2026-05-07 08:00:00+00:00,31.771,3.0,66.53645,0.0,7.44121
2026-05-07 09:00:00+00:00,30.421001,53.0,73.59334,0.5,13.584932
2026-05-07 10:00:00+00:00,29.771,51.0,74.36875,0.3,9.107359
2026-05-07 11:00:00+00:00,28.421001,53.0,78.97862,0.5,3.396233
2026-05-07 12:00:00+00:00,29.071001,61.0,76.057045,1.8,2.7534704
2026-05-07 13:00:00+00:00,26.221,63.0,90.11613,2.6,3.7585104
2026-05-07 14:00:00+00:00,25.821001,61.0,94.22546,1.6,6.638072
2026-05-07 15:00:00+00:00,25.121,51.0,96.77032,0.2,9.215226
2026-05-07 16:00:00+00:00,24.871,51.0,95.61072,0.1,8.731391
2026-05-07 17:00:00+00:00,24.921001,3.0,96.18741,0.0,9.984729
2026-05-07 18:00:00+00:00,25.271,3.0,94.20241,0.0,10.094454
2026-05-07 19:00:00+00:00,25.571001,3.0,91.70877,0.0,10.799999
2026-05-07 20:00:00+00:00,25.571001,3.0,90.88644,0.0,10.299397
2026-05-07 21:00:00+00:00,25.421001,3.0,90.33151,0.0,11.968308
2026-05-07 22:00:00+00:00,25.171001,3.0,89.77109,0.0,12.2519045
2026-05-07 23:00:00+00:00,24.971,3.0,89.75656,0.0,12.221456
2026-05-08 00:00:00+00:00,24.521,3.0,93.041336,0.0,11.409785
2026-05-08 01:00:00+00:00,24.921001,51.0,91.11873,0.2,12.140329
2026-05-08 02:00:00+00:00,25.921001,3.0,91.18183,0.0,8.656858
2026-05-08 03:00:00+00:00,27.371,3.0,88.33944,0.0,5.6262593
2026-05-08 04:00:00+00:00,29.121,3.0,79.310974,0.0,2.8856194
2026-05-08 05:00:00+00:00,30.521,3.0,72.73859,0.0,1.2074767
2026-05-08 06:00:00+00:00,31.821001,51.0,63.24348,0.1,3.7799997
2026-05-08 07:00:00+00:00,32.821,1.0,59.949448,0.0,2.7059932
2026-05-08 08:00:00+00:00,33.021,3.0,60.174747,0.0,2.4014995
2026-05-08 09:00:00+00:00,29.271,63.0,81.23859,3.5,8.187527
2026-05-08 10:00:00+00:00,28.671001,55.0,83.11766,1.0,2.8460498
2026-05-08 11:00:00+00:00,29.721,51.0,76.157074,0.2,6.7565966
2026-05-08 12:00:00+00:00,29.621,3.0,76.596985,0.0,4.175069
2026-05-08 13:00:00+00:00,28.071001,61.0,86.32476,1.3,1.2074767
2026-05-08 14:00:00+00:00,26.821001,61.0,93.70984,2.1,4.73506
2026-05-08 15:00:00+00:00,26.371,3.0,94.810196,0.0,7.731622
2026-05-08 16:00:00+00:00,25.821001,3.0,96.21244,0.0,5.896202
2026-05-08 17:00:00+00:00,25.621,3.0,96.49412,0.0,3.84796
2026-05-08 18:00:00+00:00,25.471,3.0,93.929214,0.0,6.156947
2026-05-08 19:00:00+00:00,25.421001,3.0,92.8076,0.0,3.3043609
2026-05-08 20:00:00+00:00,25.271,51.0,94.20241,0.1,4.060985
2026-05-08 21:00:00+00:00,25.271,51.0,93.92043,0.1,4.2136917
2026-05-08 22:00:00+00:00,25.721,3.0,93.38018,0.0,4.613762
2026-05-08 23:00:00+00:00,25.721,51.0,93.6598,0.1,5.5596404
2026-05-09 00:00:00+00:00,25.171001,51.0,96.4826,0.3,3.4152596
2026-05-09 01:00:00+00:00,24.871,51.0,98.517715,0.2,7.628263
2026-05-09 02:00:00+00:00,25.771,51.0,96.21109,0.2,4.7110505
2026-05-09 03:00:00+00:00,26.871,51.0,92.606766,0.1,4.7521367
2026-05-09 04:00:00+00:00,28.471,51.0,86.61823,0.4,3.1845248
2026-05-09 05:00:00+00:00,28.871,51.0,83.1404,0.4,7.2403865
2026-05-09 06:00:00+00:00,25.871,63.0,90.63373,5.9,9.418661
2026-05-09 07:00:00+00:00,26.771,51.0,84.663536,0.1,8.513448
2026-05-09 08:00:00+00:00,26.971,53.0,84.6845,0.9,3.710795
2026-05-09 09:00:00+00:00,27.271,53.0,83.45645,0.6,6.050785
2026-05-09 10:00:00+00:00,27.521,51.0,81.75141,0.1,8.099999
2026-05-09 11:00:00+00:00,28.221,3.0,77.774994,0.0,8.3520775
2026-05-09 12:00:00+00:00,27.471,51.0,86.52569,0.1,3.8183763
2026-05-09 13:00:00+00:00,26.471,51.0,93.69398,0.2,7.1208143
2026-05-09 14:00:00+00:00,25.871,51.0,94.79137,0.3,8.39078
2026-05-09 15:00:00+00:00,25.671001,51.0,94.219185,0.1,7.6642804
2026-05-09 16:00:00+00:00,25.671001,3.0,93.65754,0.0,7.2359104
2026-05-09 17:00:00+00:00,25.821001,3.0,92.27446,0.0,8.528657
2026-05-09 18:00:00+00:00,25.921001,3.0,93.38968,0.0,11.132385
2026-05-09 19:00:00+00:00,25.821001,3.0,93.94453,0.0,11.688918
2026-05-09 20:00:00+00:00,25.621,3.0,93.9358,0.0,8.967541
2026-05-09 21:00:00+00:00,25.421001,3.0,93.927025,0.0,10.662626
2026-05-09 22:00:00+00:00,25.371,3.0,92.52689,0.0,10.310403
2026-05-09 23:00:00+00:00,25.171001,3.0,92.79465,0.0,8.863972
2026-05-10 00:00:00+00:00,24.821001,2.0,95.609116,0.0,3.6
2026-05-10 01:00:00+00:00,24.971,3.0,95.04202,0.0,1.4512063
2026-05-10 02:00:00+00:00,26.221,3.0,92.021484,0.0,1.8089776
2026-05-10 03:00:00+00:00,27.771,3.0,84.26385,0.0,3.9966488
2026-05-10 04:00:00+00:00,29.171001,3.0,79.554146,0.0,6.4096174
2026-05-10 05:00:00+00:00,29.671001,51.0,77.29168,0.1,6.341009
2026-05-10 06:00:00+00:00,26.921001,3.0,84.9337,0.0,8.085988
2026-05-10 07:00:00+00:00,27.721,61.0,83.00906,1.4,3.745557
2026-05-10 08:00:00+00:00,28.771,51.0,82.882706,0.3,5.072041
2026-05-10 09:00:00+00:00,29.121,51.0,80.49936,0.2,3.9477081
2026-05-10 10:00:00+00:00,28.221,53.0,81.83688,0.6,6.696387
2026-05-10 11:00:00+00:00,27.471,63.0,84.99035,2.8,5.3699164
2026-05-10 12:00:00+00:00,29.021,51.0,77.6585,0.2,4.5536795
2026-05-10 13:00:00+00:00,27.171001,3.0,88.586685,0.0,8.536252
2026-05-10 14:00:00+00:00,26.871,3.0,90.1614,0.0,6.452441
2026-05-10 15:00:00+00:00,26.571001,3.0,92.31579,0.0,3.745557
2026-05-10 16:00:00+00:00,26.371,3.0,92.5803,0.0,2.36753
2026-05-10 17:00:00+00:00,25.971,51.0,93.67122,0.1,0.6489992
2026-05-10 18:00:00+00:00,26.021,3.0,94.515076,0.0,2.3400002
2026-05-10 19:00:00+00:00,25.371,61.0,96.19997,1.7,3.7585104
2026-05-10 20:00:00+00:00,25.171001,3.0,97.64281,0.0,7.570707
2026-05-10 21:00:00+00:00,24.921001,3.0,97.346756,0.0,6.6818557
2026-05-10 22:00:00+00:00,24.621,2.0,97.92635,0.0,6.5049515
2026-05-10 23:00:00+00:00,24.471,1.0,98.21829,0.0,7.247096
2026-05-11 00:00:00+00:00,25.471,3.0,96.20275,0.0,1.9386592
2026-05-11 01:00:00+00:00,25.921001,3.0,95.644196,0.0,4.353619
2026-05-11 02:00:00+00:00,26.871,3.0,92.058395,0.0,6.2145634
2026-05-11 03:00:00+00:00,28.321001,51.0,84.07233,0.1,7.596341
2026-05-11 04:00:00+00:00,29.321001,51.0,78.399605,0.1,9.939196
2026-05-11 05:00:00+00:00,29.621,51.0,78.675224,0.1,9.983106
2026-05-11 06:00:00+00:00,30.321001,51.0,76.475334,0.2,12.346741
2026-05-11 07:00:00+00:00,29.771,61.0,75.03786,1.6,15.273505
2026-05-11 08:00:00+00:00,29.321001,51.0,81.72768,0.4,10.587917
2026-05-11 09:00:00+00:00,29.671001,51.0,78.44894,0.1,7.388775
2026-05-11 10:00:00+00:00,27.421001,51.0,82.47845,0.4,9.430695
2026-05-11 11:00:00+00:00,28.271,51.0,81.1132,0.1,5.48631
2026-05-11 12:00:00+00:00,29.721,53.0,74.13865,0.5,9.9408245
2026-05-11 13:00:00+00:00,28.771,3.0,79.73774,0.0,7.6409945
2026-05-11 14:00:00+00:00,28.321001,3.0,82.584366,0.0,6.7397914
2026-05-11 15:00:00+00:00,27.771,3.0,86.2965,0.0,6.7469993
2026-05-11 16:00:00+00:00,27.171001,3.0,89.38131,0.0,8.647496
2026-05-11 17:00:00+00:00,26.771,3.0,89.08519,0.0,7.2202215
2026-05-11 18:00:00+00:00,26.871,3.0,86.72896,0.0,11.173057
2026-05-11 19:00:00+00:00,26.771,3.0,85.68626,0.0,11.098865
2026-05-11 20:00:00+00:00,26.621,3.0,85.15824,0.0,11.966953
2026-05-11 21:00:00+00:00,26.271,3.0,87.45847,0.0,11.7
2026-05-11 22:00:00+00:00,25.871,0.0,90.09163,0.0,12.367716
2026-05-11 23:00:00+00:00,25.321001,3.0,92.524185,0.0,11.616627
2026-05-12 00:00:00+00:00,25.921001,3.0,91.455284,0.0,12.472065
2026-05-12 01:00:00+00:00,26.071001,3.0,89.83598,0.0,12.835653
2026-05-12 02:00:00+00:00,26.821001,3.0,88.2946,0.0,10.8029995
2026-05-12 03:00:00+00:00,28.671001,3.0,82.135506,0.0,11.177405
2026-05-12 04:00:00+00:00,29.871,3.0,77.55109,0.0,13.644427
2026-05-12 05:00:00+00:00,30.771,3.0,74.974144,0.0,15.15104
2026-05-12 06:00:00+00:00,30.871,3.0,75.21235,0.0,15.405519
2026-05-12 07:00:00+00:00,29.021,53.0,84.89724,0.8,15.85329
2026-05-12 08:00:00+00:00,28.621,53.0,84.1047,0.6,16.521805
2026-05-12 09:00:00+00:00,30.121,51.0,74.2042,0.2,14.822429
2026-05-12 10:00:00+00:00,28.471,61.0,86.874855,1.3,12.98248
2026-05-12 11:00:00+00:00,28.171001,53.0,88.666046,0.9,12.996199
2026-05-12 12:00:00+00:00,28.971,53.0,82.171364,0.5,8.415842
2026-05-12 13:00:00+00:00,27.171001,51.0,88.85087,0.3,9.3876505
2026-05-12 14:00:00+00:00,26.221,51.0,92.021484,0.1,8.9873905
2026-05-12 15:00:00+00:00,26.071001,3.0,89.83598,0.0,6.310277
2026-05-12 16:00:00+00:00,26.121,3.0,89.57075,0.0,4.7827187
2026-05-12 17:00:00+00:00,26.271,3.0,89.85038,0.0,4.3832865
2026-05-12 18:00:00+00:00,26.821001,3.0,88.03117,0.0,8.863972
2026-05-12 19:00:00+00:00,26.571001,3.0,89.871796,0.0,8.171683
2026-05-12 20:00:00+00:00,26.121,3.0,92.015785,0.0,9.3962755
2026-05-12 21:00:00+00:00,25.571001,53.0,95.63309,0.5,7.172949
2026-05-12 22:00:00+00:00,25.871,51.0,94.50908,0.1,7.9383874
2026-05-12 23:00:00+00:00,25.721,51.0,94.50309,0.1,8.55142
2026-05-13 00:00:00+00:00,25.571001,51.0,95.06362,0.1,8.538149
2026-05-13 01:00:00+00:00,25.721,3.0,94.50309,0.0,8.557102
2026-05-13 02:00:00+00:00,26.071001,51.0,93.39682,0.1,8.149847
2026-05-13 03:00:00+00:00,27.171001,51.0,86.497765,0.1,8.93859
2026-05-13 04:00:00+00:00,28.321001,51.0,81.36203,0.1,11.091564
2026-05-13 05:00:00+00:00,29.621,51.0,78.20918,0.1,11.545284
2026-05-13 06:00:00+00:00,30.221,3.0,72.03856,0.0,15.518672
2026-05-13 07:00:00+00:00,29.671001,51.0,74.575,0.2,16.084589
2026-05-13 08:00:00+00:00,29.421001,53.0,74.089325,0.5,17.38934
2026-05-13 09:00:00+00:00,28.871,51.0,79.98913,0.2,17.563608
2026-05-13 10:00:00+00:00,28.921001,3.0,80.2343,0.0,14.73913
2026-05-13 11:00:00+00:00,28.221,51.0,83.06635,0.3,12.855831
2026-05-13 12:00:00+00:00,29.221,51.0,78.61935,0.2,12.750811
2026-05-13 13:00:00+00:00,28.421001,3.0,81.61753,0.0,9.7565975
2026-05-13 14:00:00+00:00,27.771,3.0,86.04011,0.0,8.427383
2026-05-13 15:00:00+00:00,27.621,3.0,87.31565,0.0,10.304115
2026-05-13 16:00:00+00:00,27.721,3.0,86.03528,0.0,11.440979
2026-05-13 17:00:00+00:00,27.521,3.0,86.272865,0.0,11.440979
2026-05-13 18:00:00+00:00,27.471,3.0,88.874245,0.0,11.7
2026-05-13 19:00:00+00:00,27.371,51.0,89.39621,0.1,11.298495
2026-05-13 20:00:00+00:00,27.021,51.0,90.70977,0.2,10.694485
2026-05-13 21:00:00+00:00,26.921001,3.0,92.061226,0.0,7.889258
2026-05-13 22:00:00+00:00,26.371,51.0,95.0922,0.1,5.637765
2026-05-13 23:00:00+00:00,25.721,51.0,95.637856,0.3,7.1684303
2026-05-14 00:00:00+00:00,26.421001,53.0,94.5309,0.8,12.283599
2026-05-14 01:00:00+00:00,26.271,51.0,95.08868,0.3,12.55879
2026-05-14 02:00:00+00:00,26.571001,51.0,94.81769,0.2,13.0806875
2026-05-14 03:00:00+00:00,27.171001,51.0,91.259796,0.1,11.638917
2026-05-14 04:00:00+00:00,28.221,51.0,84.0615,0.1,12.261157
2026-05-14 05:00:00+00:00,29.321001,51.0,81.72768,0.1,13.527572
2026-05-14 06:00:00+00:00,28.571001,53.0,77.12894,0.6,14.76439
2026-05-14 07:00:00+00:00,26.421001,55.0,87.47157,1.1,13.324863
2026-05-14 08:00:00+00:00,28.921001,51.0,79.52043,0.2,13.523978
2026-05-14 09:00:00+00:00,29.271,51.0,78.860756,0.1,14.57889
2026-05-14 10:00:00+00:00,27.621,53.0,81.03104,0.5,16.951565
2026-05-14 11:00:00+00:00,27.021,55.0,89.63668,1.2,12.652604
2026-05-14 12:00:00+00:00,27.221,51.0,85.21925,0.3,10.239453
2026-05-14 13:00:00+00:00,26.971,3.0,87.7812,0.0,6.0721655
2026-05-14 14:00:00+00:00,26.921001,3.0,89.362656,0.0,5.5799994
2026-05-14 15:00:00+00:00,26.571001,3.0,91.76772,0.0,5.5887027
2026-05-14 16:00:00+00:00,26.371,3.0,92.8565,0.0,5.983477
2026-05-14 17:00:00+00:00,26.371,3.0,93.13341,0.0,4.6938257
2026-05-14 18:00:00+00:00,25.071001,51.0,93.62996,0.1,6.552099
2026-05-14 19:00:00+00:00,25.571001,3.0,91.159805,0.0,9.361731
2026-05-14 20:00:00+00:00,25.771,3.0,93.38257,0.0,10.587918
2026-05-14 21:00:00+00:00,25.721,3.0,92.54564,0.0,9.346143
2026-05-14 22:00:00+00:00,25.271,51.0,93.92043,0.2,9.220499
2026-05-14 23:00:00+00:00,24.871,51.0,95.61072,0.3,7.0038276
2026-05-15 00:00:00+00:00,23.421001,3.0,98.20436,0.0,5.720489
2026-05-15 01:00:00+00:00,24.221,3.0,97.04056,0.0,3.189608
2026-05-15 02:00:00+00:00,24.721,3.0,97.9279,0.0,9.3669195
2026-05-15 03:00:00+00:00,25.371,51.0,95.91296,0.2,7.8583965
2026-05-15 04:00:00+00:00,26.371,3.0,90.126595,0.0,10.829959
2026-05-15 05:00:00+00:00,26.571001,51.0,88.01027,0.1,11.440979
2026-05-15 06:00:00+00:00,26.571001,53.0,91.49477,0.9,14.428097
2026-05-15 07:00:00+00:00,26.821001,61.0,93.98804,2.0,14.581111
2026-05-15 08:00:00+00:00,27.021,55.0,90.97978,1.0,13.379461
2026-05-15 09:00:00+00:00,26.971,53.0,89.36642,0.7,14.113652
2026-05-15 10:00:00+00:00,26.821001,55.0,94.267006,1.0,10.97262
2026-05-15 11:00:00+00:00,27.121,53.0,90.98613,0.9,14.01806
2026-05-15 12:00:00+00:00,25.071001,53.0,98.226166,0.9,9.473541
2026-05-15 13:00:00+00:00,25.421001,51.0,96.77742,0.3,9.867218
2026-05-15 14:00:00+00:00,25.421001,51.0,97.35651,0.1,8.297589
2026-05-15 15:00:00+00:00,25.371,3.0,96.77624,0.0,9.636307
2026-05-15 16:00:00+00:00,25.121,3.0,96.48127,0.0,6.9247384
2026-05-15 17:00:00+00:00,25.221,3.0,95.3361,0.0,6.198903
2026-05-15 18:00:00+00:00,25.571001,2.0,96.492874,0.0,10.883676
2026-05-15 19:00:00+00:00,25.121,1.0,96.77032,0.0,9.172938
2026-05-15 20:00:00+00:00,24.921001,2.0,96.76557,0.0,8.641874
2026-05-15 21:00:00+00:00,24.771,0.0,95.89501,0.0,8.836514
2026-05-15 22:00:00+00:00,24.521,0.0,95.887474,0.0,8.107996
2026-05-15 23:00:00+00:00,24.521,1.0,96.17623,0.0,7.8149853
2026-05-16 00:00:00+00:00,24.621,1.0,94.743835,0.0,7.120815
2026-05-16 01:00:00+00:00,24.871,2.0,95.0384,0.0,6.2613096
2026-05-16 02:00:00+00:00,26.171001,3.0,92.56966,0.0,5.896202
2026-05-16 03:00:00+00:00,26.871,51.0,88.562706,0.2,7.6642804
2026-05-16 04:00:00+00:00,28.471,51.0,80.65557,0.3,10.694485
2026-05-16 05:00:00+00:00,30.071001,51.0,72.66146,0.1,11.966953
2026-05-16 06:00:00+00:00,30.021,61.0,69.666115,1.6,16.029099
2026-05-16 07:00:00+00:00,28.821001,53.0,79.506935,0.8,9.67657
2026-05-16 08:00:00+00:00,29.071001,51.0,76.51367,0.3,13.776763
2026-05-16 09:00:00+00:00,27.471,53.0,80.28448,0.6,25.875586
2026-05-16 10:00:00+00:00,27.771,51.0,80.807335,0.1,19.421656
2026-05-16 11:00:00+00:00,27.771,51.0,82.02728,0.2,15.299999
2026-05-16 12:00:00+00:00,27.821001,53.0,84.26918,0.7,13.466357
2026-05-16 13:00:00+00:00,27.021,3.0,88.83916,0.0,9.9
2026-05-16 14:00:00+00:00,26.621,3.0,90.68341,0.0,10.4166975
2026-05-16 15:00:00+00:00,26.221,3.0,93.40396,0.0,10.920824
2026-05-16 16:00:00+00:00,26.171001,3.0,93.123566,0.0,11.27553
2026-05-16 17:00:00+00:00,26.121,3.0,92.29101,0.0,12.703715
2026-05-16 18:00:00+00:00,26.771,3.0,88.55472,0.0,13.288341
2026-05-16 19:00:00+00:00,26.821001,3.0,87.24503,0.0,12.325728
2026-05-16 20:00:00+00:00,26.621,3.0,88.80782,0.0,10.32924
2026-05-16 21:00:00+00:00,26.471,3.0,89.32897,0.0,9.621163
2026-05-16 22:00:00+00:00,26.321001,1.0,90.12313,0.0,9.67657
2026-05-16 23:00:00+00:00,25.721,51.0,91.99292,0.2,16.928614
2026-05-17 00:00:00+00:00,24.071001,51.0,97.33004,0.4,11.656998
2026-05-17 01:00:00+00:00,24.421001,63.0,96.46316,5.1,10.484902
2026-05-17 02:00:00+00:00,24.971,65.0,96.4774,7.8,9.997699
2026-05-17 03:00:00+00:00,25.771,63.0,94.78759,5.5,8.647496
2026-05-17 04:00:00+00:00,26.971,51.0,88.5707,0.4,13.151091
2026-05-17 05:00:00+00:00,28.171001,51.0,81.83079,0.1,8.187527
2026-05-17 06:00:00+00:00,28.971,51.0,79.76446,0.1,13.88919
2026-05-17 07:00:00+00:00,28.871,51.0,81.43033,0.4,12.632101
2026-05-17 08:00:00+00:00,28.621,51.0,81.885475,0.1,12.440851
2026-05-17 09:00:00+00:00,27.021,63.0,88.83916,3.3,16.203999
2026-05-17 10:00:00+00:00,26.171001,63.0,93.401566,4.6,17.015474
2026-05-17 11:00:00+00:00,26.071001,53.0,93.955444,0.9,13.004921
2026-05-17 12:00:00+00:00,28.071001,53.0,81.33088,0.6,13.684735
2026-05-17 13:00:00+00:00,26.571001,51.0,89.60379,0.4,10.4166975
2026-05-17 14:00:00+00:00,26.271,51.0,91.47658,0.2,10.009036
2026-05-17 15:00:00+00:00,26.021,51.0,93.39447,0.1,8.880405
2026-05-17 16:00:00+00:00,25.221,55.0,97.062256,1.2,10.829959
2026-05-17 17:00:00+00:00,25.171001,53.0,97.9348,0.7,7.8728137
2026-05-17 18:00:00+00:00,25.771,51.0,97.074104,0.1,7.9220443
2026-05-17 19:00:00+00:00,25.321001,51.0,98.52265,0.2,6.320538
2026-05-17 20:00:00+00:00,24.921001,2.0,98.518265,0.0,8.287822
2026-05-17 21:00:00+00:00,24.671001,51.0,97.34185,0.3,6.341009
2026-05-17 22:00:00+00:00,24.321001,51.0,98.80776,0.4,8.427383
2026-05-17 23:00:00+00:00,24.021,2.0,99.10266,0.0,7.289445
2026-05-18 00:00:00+00:00,25.121,3.0,97.641945,0.0,3.4247334
2026-05-18 01:00:00+00:00,25.321001,3.0,96.77502,0.0,4.186693
2026-05-18 02:00:00+00:00,26.521,3.0,93.14084,0.0,3.7842832
2026-05-18 03:00:00+00:00,27.821001,51.0,84.26918,0.2,6.9153743
2026-05-18 04:00:00+00:00,27.171001,63.0,88.586685,3.0,8.211235
2026-05-18 05:00:00+00:00,29.071001,3.0,78.13082,0.0,12.525207
2026-05-18 06:00:00+00:00,30.121,3.0,72.8875,0.0,13.324863
2026-05-18 07:00:00+00:00,29.971,51.0,73.9586,0.1,15.986593
2026-05-18 08:00:00+00:00,29.871,51.0,74.163246,0.1,16.67892
2026-05-18 09:00:00+00:00,29.771,3.0,73.925575,0.0,17.363237
2026-05-18 10:00:00+00:00,29.121,51.0,76.98016,0.1,17.637245
2026-05-18 11:00:00+00:00,27.921001,51.0,79.62354,0.3,16.396805
2026-05-18 12:00:00+00:00,29.471,61.0,72.3406,1.3,14.813683
2026-05-18 13:00:00+00:00,28.921001,51.0,73.34171,0.1,13.18308
2026-05-18 14:00:00+00:00,28.621,3.0,74.18035,0.0,10.548061
2026-05-18 15:00:00+00:00,27.971,51.0,77.50496,0.1,8.297589
2026-05-18 16:00:00+00:00,27.421001,51.0,81.249504,0.2,7.145796
2026-05-18 17:00:00+00:00,27.121,51.0,82.93994,0.4,7.2649574
2026-05-18 18:00:00+00:00,26.921001,51.0,85.444565,0.3,7.458606
2026-05-18 19:00:00+00:00,25.321001,61.0,94.204506,1.6,5.6262593
2026-05-18 20:00:00+00:00,25.321001,61.0,97.064415,2.3,2.5455842
